Timestamp,Value_NE5
2022-08-31 00:15:00,0.2238278449944723
2022-08-31 00:30:00,0.24503494173459853
2022-08-31 00:45:00,0.21322961911726648
2022-08-31 01:00:00,0.22190020164476024
2022-08-31 01:15:00,0.22607595836357217
2022-08-31 01:30:00,0.2299222797959296
2022-08-31 01:45:00,0.202105220819557
2022-08-31 02:00:00,0.21290704940677713
2022-08-31 02:15:00,0.19861044289021845
2022-08-31 02:30:00,0.20554162513365484
2022-08-31 02:45:00,0.20194830708386352
2022-08-31 03:00:00,0.22031735954024062
2022-08-31 03:15:00,0.21492717328991004
2022-08-31 03:30:00,0.21270534209895398
2022-08-31 03:45:00,0.21221091222624175
2022-08-31 04:00:00,0.2522135182332147
2022-08-31 04:15:00,0.259639855380337
2022-08-31 04:30:00,0.26992273742241857
2022-08-31 04:45:00,0.28231766876964626
2022-08-31 05:00:00,0.2901865677075447
2022-08-31 05:15:00,0.3149094159560997
2022-08-31 05:30:00,0.3120947152173865
2022-08-31 05:45:00,0.3369070779858619
2022-08-31 06:00:00,0.34931528779146626
2022-08-31 06:15:00,0.3844817683106496
2022-08-31 06:30:00,0.3863956007938843
2022-08-31 06:45:00,0.4046615220016925
2022-08-31 07:00:00,0.4072441840603923
2022-08-31 07:15:00,0.43314223926302037
2022-08-31 07:30:00,0.44563092155176465
2022-08-31 07:45:00,0.4384502330172394
2022-08-31 08:00:00,0.44588885530527866
2022-08-31 08:15:00,0.465258347525427
2022-08-31 08:30:00,0.4552819910233461
2022-08-31 08:45:00,0.45439385955748535
2022-08-31 09:00:00,0.4605128826110432
2022-08-31 09:15:00,0.4741382551559768
2022-08-31 09:30:00,0.4705426634897825
2022-08-31 09:45:00,0.47932947908685286
2022-08-31 10:00:00,0.4786316201720069
2022-08-31 10:15:00,0.4789080122683529
2022-08-31 10:30:00,0.5004266533109187
2022-08-31 10:45:00,0.4996649110114594
2022-08-31 11:00:00,0.49904874129655963
2022-08-31 11:15:00,0.50002173360855
2022-08-31 11:30:00,0.48169110679567984
2022-08-31 11:45:00,0.5099143388566607
2022-08-31 12:00:00,0.5011453039034646
2022-08-31 12:15:00,0.5153412087109626
2022-08-31 12:30:00,0.5065615193681827
2022-08-31 12:45:00,0.5109985863308671
2022-08-31 13:00:00,0.5153846406025225
2022-08-31 13:15:00,0.5198880553783629
2022-08-31 13:30:00,0.4983832161508056
2022-08-31 13:45:00,0.5204433363823369
2022-08-31 14:00:00,0.5128886889032767
2022-08-31 14:15:00,0.5031801491645336
2022-08-31 14:30:00,0.49991134706774887
2022-08-31 14:45:00,0.49740950496339875
2022-08-31 15:00:00,0.503635762998578
2022-08-31 15:15:00,0.5087285271149631
2022-08-31 15:30:00,0.4952255440433985
2022-08-31 15:45:00,0.5043816284263853
2022-08-31 16:00:00,0.4804167577930666
2022-08-31 16:15:00,0.49880146762525995
2022-08-31 16:30:00,0.49671261867519656
2022-08-31 16:45:00,0.4889034081125685
2022-08-31 17:00:00,0.48383878701554006
2022-08-31 17:15:00,0.4774774956136949
2022-08-31 17:30:00,0.4552799204903688
2022-08-31 17:45:00,0.4698486500028843
2022-08-31 18:00:00,0.4449139242805714
2022-08-31 18:15:00,0.4248520535993528
2022-08-31 18:30:00,0.44043265138956483
2022-08-31 18:45:00,0.4405709971333112
2022-08-31 19:00:00,0.4086604734604548
2022-08-31 19:15:00,0.41074588300953424
2022-08-31 19:30:00,0.4058873108021506
2022-08-31 19:45:00,0.3836979908666463
2022-08-31 20:00:00,0.36707132904876416
2022-08-31 20:15:00,0.34476393936445643
2022-08-31 20:30:00,0.34455478403714407
2022-08-31 20:45:00,0.33581053554542845
2022-08-31 21:00:00,0.3325034981012261
2022-08-31 21:15:00,0.3297649584636267
2022-08-31 21:30:00,0.33634970656056995
2022-08-31 21:45:00,0.3142015042340113
2022-08-31 22:00:00,0.31477351476097504
2022-08-31 22:15:00,0.30285987607469955
2022-08-31 22:30:00,0.30214994175608983
2022-08-31 22:45:00,0.29817123875858914
2022-08-31 23:00:00,0.32718570914818723
2022-08-31 23:15:00,0.3125656723597108
2022-08-31 23:30:00,0.3047937414515671
2022-08-31 23:45:00,0.3072526659661173
2022-09-01 00:00:00,0.30765136217253936
2022-09-01 00:15:00,0.281635341161151
2022-09-01 00:30:00,0.27669033290514305
2022-09-01 00:45:00,0.27672318756269393
2022-09-01 01:00:00,0.27785763983579675
